Unnamed: 0	title	artist	top genre	year	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	track.lyrics	artist.bio
364	The Hills	The Weeknd	canadian contemporary r&b	2016	113	56	58	-7	14	14	242	7	5	84	"[Intro]
Yeah
Yeah
Yeah

[Verse 1]
Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
'Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it but your friends know

[Chorus]
I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only fuck you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Verse 2]
I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

[Chorus]
I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Bridge]
Hills have eyes, the hills have eyes
Who are you to judge? Who are you to judge?
Hide your lies, girl, hide your lies (Hide your lies, oh, baby)
Only you to trust, only you

[Chorus]
I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

[Outro]
Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir
Ewedihalehu
Yene konjo, ewedihalehu..."	"Abel Makkonen Tesfaye, born 16 February 1990, known professionally as The Weeknd (pronounced the weekend), is a Canadian singer, songwriter, and record producer.

In late 2010, Tesfaye anonymously uploaded several songs to YouTube under the name ""The Weeknd"". He released three nine-track mixtapes throughout 2011: House of Balloons, Thursday and Echoes of Silence, which were critically acclaimed. In 2012, he released a compilation album Trilogy, thirty tracks consisting of the remastered mixtapes and three additional songs. <a href=""https://www.last.fm/music/The+Weeknd"">Read more on Last.fm</a>"
365	Love Yourself	Justin Bieber	canadian pop	2016	100	38	61	-10	28	52	234	84	44	83	"[Produced by Benny Blanco]

[Verse 1]
For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl for goodness sake
You think I'm cryin' on my own, well I ain't

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I'll be movin' on
And I think you should be somethin'
I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

[Verse 2]
But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I'll be movin' on
And I think you should be somethin'
I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

[Bridge]
For all the times that you made me feel small
I fell in love, now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls?

[Chorus]
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself"	"Justin Drew Bieber (born March 1, 1994 in London, Ontario, Canada) is a Canadian pop musician, actor, and singer-songwriter. Bieber was discovered in 2008 by American talent manager Scooter Braun, who came across Bieber's videos on YouTube and later became his manager. Braun arranged for him to meet with entertainer Usher Raymond in Atlanta, Georgia. Bieber was signed to Raymond Braun Media Group (RBMG), and then to an Island Records recording contract offered by record executive L.A. Reid. <a href=""https://www.last.fm/music/Justin+Bieber"">Read more on Last.fm</a>"
366	Cake By The Ocean	DNCE	dance pop	2016	119	75	77	-5	4	90	219	15	5	81	"[Intro]
Nah, nah, nah
Cake by the ocean

[Verse 1]
Oh, no
See you walking 'round like it's a funeral
Not so serious girl, why those feet cold?
We just getting started, don't you tiptoe, tiptoe

[Pre-Chorus]
Waste time with a masterpiece, don't waste time with a masterpiece (Huh)
You should be rollin' with me, you should be rollin' with me (Ahh)
You're a real-life fantasy, you're a real-life fantasy (Huh)
But you're movin' so carefully, let's start livin' dangerously

[Chorus]
Talk to me, baby
I'm goin' blind from this sweet sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
Ah, ya, ya, ya, ya, I keep on hopin' we'll eat cake by the ocean
Walk for me, baby
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
Ah, ya, ya, ya, ya I keep on hopin' we'll eat cake by the ocean

[Verse 2]
Goddamn
See you licking frosting from your own hands
Want another taste, I'm begging, yes ma'am
I'm tired of all this candy on the dry land, dry land, ooh

[Pre-Chorus]
Waste time with a masterpiece
Don't waste time with a masterpiece (Huh)
You should be rollin' me, you should be rollin' me (Ahh)
You're a real-life fantasy, you're a real-life fantasy (Huh)
But you're movin' so carefully, let's start livin' dangerously, whoa

[Chorus]
Talk to me, baby
I'm goin' blind from this sweet sweet craving, whoa-oh
Let's lose our minds and go fucking crazy (Ahh!)
Ah, ya, ya, ya, ya, I keep on hopin' we'll eat cake by the ocean (Huh)
Walk for me, baby (Walk for me now)
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
Ah, ya, ya, ya, ya, I keep on hopin' we'll eat cake by the ocean (Yeah, yeah)

[Refrain]
Ooh, ah, ah
Ah, ya, ya, ya, ya, I keep on hopin' we'll eat cake by the ocean
Ooh, ah, ah
Ah, ya, ya, ya, ya, I keep on hopin' we'll eat cake by the ocean

[Bridge]
You're fucking delicious, haha
Talk to me, girl

[Chorus]
Talk to me, baby (Talk to me, baby)
I'm goin' blind from this sweet sweet craving, whoa-oh
Let's lose our minds and go fucking crazy
Ah, ya, ya, ya, ya, I keep on hopin' we'll eat cake by the ocean (Hey)
Walk for me, baby (Walk for me now)
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go (And go what?) fucking crazy (That's right)
Ah, ya, ya, ya, ya I keep on hopin' we'll eat cake by the ocean (I keep on hopin', hot damn)

[Outro]
Red velvet, vanilla, chocolate in my life
Funfetti, I'm ready; I need it every night
Red velvet, vanilla, chocolate in my life
Ah, ya, ya, ya, ya, I keep on hopin' we'll eat cake by the ocean"	"DNCE is an American pop-rock band. The group consists of vocalist Joe Jonas (formerly of Jonas Brothers), drummer Jack Lawless, bassist/keyboardist Cole Whittle (formerly of Semi-Precious Weapons), and guitarist JinJoo Lee. The group signed with Republic Records, who released their debut single ""Cake by the Ocean"" in 2015. The song had success in various territories, reaching number 9 on the Billboard Hot 100 chart. Their debut extended play, SWAAY (2015), received a generally positive reception upon release. <a href=""https://www.last.fm/music/DNCE"">Read more on Last.fm</a>"
367	Don't Let Me Down	The Chainsmokers	electropop	2016	160	87	53	-5	14	42	208	16	17	81	"[Verse 1]
Crashing, hit a wall
Right now I need a miracle
Hurry up now, I need a miracle
Stranded, reaching out
I call your name, but you're not around
I say your name, but you're not around

[Chorus]
I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling, I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-don't let me down
Don't let me down

[Post-Chorus]
Don't let me down, down, down
Don't let me down
Don't let me down, down, down

[Verse 2]
R-r-running out of time
I really thought you were on my side
But now there's nobody by my side

[Chorus]
I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling, I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-don't let me down
Don't let me down

[Post-Chorus]
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down
Don't let me down, down, down

[Bridge]
Ooh, I think I'm losing my mind now, yeah
Ooh, I think I'm losing my mind now, yeah

[Chorus]
I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling, I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down

[Outro]
Yeah, don't let me down
Yeah, don't let me down
Don't let me down, oh, no
Say don't let me down
Don't let me down, no-o
Don't let me down
Don't let me down, down, down"	"A production duo featuring Andrew Taggart and Alex Pall, the Chainsmokers mix indie, dance, and pop into a chart-topping sound that spawned hits like ""Roses,"" ""Closer,"" and ""Don't Let Me Down."" Pall and Taggart first made a name for themselves by creating remixes of their favorite indie bands that garnered tens of millions of streams. The duo released its official debut single, ""#Selfie,"" which celebrated and skewered 2010s narcissism, in January 2014. <a href=""https://www.last.fm/music/The+Chainsmokers"">Read more on Last.fm</a>"
368	In the Name of Love	Martin Garrix	big room	2016	134	52	50	-6	45	17	196	11	4	81	"[Verse 1: Bebe Rexha]
If I told you this was only gonna hurt
If I warned you that the fire's gonna burn
Would you walk in? Would you let me do it first?
Do it all in the name of love
Would you let me lead you even when you're blind?
In the darkness, in the middle of the night
In the silence, when there's no one by your side
Would you call in the name of love?

[Chorus: Bebe Rexha]
In the name of love, name of love
In the name of love, name of love

[Breakdown: Bebe Rexha]
In the name of
Love
In the name, name
Love
In the name, name
Love

[Verse 2: Bebe Rexha]
If I told you we could bathe in all the lights
Would you rise up, come and meet me in the sky?
Would you trust me when you're jumping from the heights?
Would you fall in the name of love?
When there's madness, when there's poison in your head
When the sadness leaves you broken in your bed
I will hold you in the depths of your despair
And it's all in the name of love

[Chorus: Bebe Rexha]
In the name of love, name of love
In the name of love, name of love

[Breakdown: Bebe Rexha]
In the name of
Love
In the name, name
Love
In the name, name
Love

[Bridge: Bebe Rexha]
I wanna testify
Scream in the holy light
You bring me back to life
And it's all in the name of love
I wanna testify
Scream in the holy light
You bring me back to life
And it's all in the name of love

[Chorus: Bebe Rexha]
In the name of love, name of love
In the name of love, name of love

[Breakdown: Bebe Rexha]
In the name of
Love
In the name, name
Love
In the name, name
Love
In the name of
Love
In the name, name
Love
In the name of
Love
In the name of
Love
In the name of
Love"	"Martijn Gerard Garritsen, born on the 14th May 1996 is a Dutch musician and producer from Amstelveen. He was named the DJ Mag top DJ in the world for 2016 and 2017. He has also had a number of high profile artists residencies, including at Hï Ibiza and OMNIA Nightclub.

In 2012, Garritsen signed a professional contract with Spinnin' Records until terminating his contract in 2015 and cutting ties with his management, MusicalAllStars on August 25, 2015. <a href=""https://www.last.fm/music/Martin+Garrix"">Read more on Last.fm</a>"
369	Into You	Ariana Grande	dance pop	2016	108	73	62	-6	14	37	244	2	11	80	"[Verse 1]
I'm so into you, I can barely breathe
And all I wanna do is to fall in deep
But close ain't close enough, 'til we cross the line, hey yeah
So name a game to play, and I'll roll the dice, hey

[Pre-Chorus]
Oh baby, look what you started
The temperature's rising in here
Is this gonna happen?
Been waiting and waiting for you to make a move
Before I make a move

[Chorus]
So, baby, come light me up, and, baby, I'll let you on it
A little bit dangerous, but, baby, that's how I want it
A little less conversation and a little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us, so, baby, let's keep this secret
A little bit scandalous, but, baby, don't let them see it
A little less conversation and a little more touch my body
'Cause I'm so into you, into you, into you (Ooh, yeah)

[Verse 2]
This could take some time, hey
Made too many mistakes
Better get this right, right, baby

[Pre-Chorus]
Oh, baby, look what you started
The temperature's rising in here
Is this gonna happen?
Been waiting and waiting for you to make a move
Before I make a move

[Chorus]
So, baby, come light me up, and, baby, I'll let you on it
A little bit dangerous, but, baby, that's how I want it
A little less conversation and a little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us, so, baby, let's keep this secret
A little bit scandalous, but, baby, don't let them see it
A little less conversation and a, little more touch my body
'Cause I'm so into you, into you, into you, oh yeah
('Cause I'm so into you)

[Bridge]
Tell me what you came here for
'Cause I can't, I can't wait no more
I'm on the edge with no control
And I need, I need you to know
You to know, oh, woah, yeah

[Chorus]
So, baby, come light me up (Light me up), and, baby, I'll let you on it
A little bit dangerous (Dangerous), but, baby, that's how I want it (How I want it)
A little less conversation and a little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us (Watchin' us), so, baby, let's keep this secret
A little bit scandalous (Scandalous), but, baby, don't let them see it (Yeah)
A little less conversation  and a little more touch my body
'Cause I'm so into you, into you, into you

[Outro]
So come light me up
So come light me up, my baby
Little dangerous
A little dangerous, my boy (How I want it)
A little less conversation and a little more touch my body
'Cause I'm so into you, into you, into you
(I'm so into you)"	"Ariana Grande is an American singer, songwriter, and actress. A multi-platinum, Grammy Award-winning recording artist. Born in Boca Raton, Florida, Grande began her career in 2008 in the Broadway musical, 13. She rose to prominence for her role as Cat Valentine in the Nickelodeon television series, Victorious (2010–2013) and in its spin-off, Sam & Cat (2013–2014). As she grew interested in pursuing a music career, Grande recorded songs for the <a href=""https://www.last.fm/music/Ariana+Grande"">Read more on Last.fm</a>"
370	This Is What You Came For	Calvin Harris	dance pop	2016	124	93	63	-3	15	47	222	20	3	80	"[Chorus: Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh-oooh
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Post-Chorus:  Rihanna]
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Verse: Rihanna]
We go fast with the game we play (Game we play, game we play)
Who knows why it's gotta be this way? (Be this way, be this way)
We say nothing more than we need (Than we need, than we need)
I say ""your place"" when we leave

[Chorus: Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Post-Chorus:  Rihanna]
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Bridge:  Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
Yeah

[Chorus:  Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Post-Chorus:  Rihanna]
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh"	"Calvin Harris (born Adam Richard Wiles; January 17,  1984 in Dumfries, Scotland), is a Scottish singer, songwriter and record producer. He was born and grew up in Dumfries, Scotland. His interest in electronic music surfaced in his early teenage years, producing his first bedroom demo by the age of 15. 

His first album I Created Disco was released on 18 June 2007. The album contained up-tempo electroclash songs that were influenced by music from the 1980s. <a href=""https://www.last.fm/music/Calvin+Harris"">Read more on Last.fm</a>"
371	Million Reasons	Lady Gaga	dance pop	2016	130	42	67	-8	11	15	205	49	4	80	"[Verse 1]
You're giving me a million reasons to let you go
You're giving me a million reasons to quit the show
You're givin' me a million reasons
Give me a million reasons
Givin' me a million reasons
About a million reasons

If I had a highway, I would run for the hills
If you could find a dry way, I'd forever be still
But you're giving me a million reasons
Give me a million reasons
Givin' me a million reasons
About a million reasons

[Chorus]
I bow down to pray
I try to make the worst seem better
Lord, show me the way
To cut through all his worn out leather
I've got a hundred million reasons to walk away
But baby, I just need one good one to stay

[Verse 2]
Head stuck in a cycle, I look off and I stare
It's like that I've stopped breathing, but completely aware
'Cause you're giving me a million reasons
Give me a million reasons
Givin' me a million reasons
About a million reasons

And if you say something that you might even mean
It's hard to even fathom which parts I should believe
'Cause you're giving me a million reasons
Give me a million reasons
Givin' me a million reasons
About a million reasons

[Chorus]
I bow down to pray
I try to make the worst seem better
Lord, show me the way
To cut through all his worn out leather
I've got a hundred million reasons to walk away
But baby, I just need one good one to stay

[Bridge]
Hey, ehh, ehh, eyy
Baby I'm bleedin', bleedin'
Stay, ehh, ehhy
Can't you give me what I'm needin', needin'
Every heartbreak makes it hard to keep the faith
But baby, I just need one good one
Good one, good one, good one, good one, good one

[Chorus]
When I bow down to pray
I try to make the worst seem better
Lord, show me the way
To cut through all his worn out leather
I've got a hundred million reasons to walk away
But baby, I just need one good one, good one
Tell me that you'll be the good one, good one
Baby, I just need one good one to stay"	"Stefani Joanne Angelina Germanotta (born March 28, 1986), who performs under the stage name Lady Gaga, is a singer, songwriter, musician and actress from New York City, New York, United States.
Perhaps unsurprisingly given her flair for grand gestures, Lady Gaga has deep roots in drama. Gaga played piano as a child and pursued musical theater in high school, regularly auditioning for New York-based television shows, notably landing a background role for a 2001 episode of the highly successful show ""The Sopranos"". <a href=""https://www.last.fm/music/Lady+Gaga"">Read more on Last.fm</a>"
372	Needed Me	Rihanna	barbadian pop	2016	111	31	67	-8	8	30	192	11	24	80	"[Intro: YG]
Mustard on the beat, ho!

[Verse 1]
I was good on my own, that's the way it was
That's the way it was
You was good on the low for a faded fuck
On some faded love
Shit, what the fuck you complaining for?
Feeling jaded, huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I'll give it to you

[Pre-Chorus]
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

[Chorus]
You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me

[Verse 2]
You been rollin' around, shit I'm rollin' up
Light and roll it up
Break it down, like a pound, shit was never us
Shit was never us
That's the real, on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I'll give it to ya

[Pre-Chorus]
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

[Chorus]
You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me"	"Robyn Rihanna Fenty (born February 20, 1988), known by her stage name, Rihanna, is a Bajan singer, has sold 94 million albums and 290 million singles worldwide. Being the most certified female artist in the history of the United States and the entire world of music. is considered by many the greatest artist of the years 2010 and elected by several magazines the ARTIST OF THE DECADE.  Her song ""Umbrella"" was one of the highest-selling songs of 2007 and her third album Good Girl Gone Bad was critically acclaimed <a href=""https://www.last.fm/music/Rihanna"">Read more on Last.fm</a>"
373	7 Years	Lukas Graham	danish pop	2016	120	47	77	-6	39	34	237	29	5	80	"[Chorus 1]
Once I was seven years old my momma told me
Go make yourself some friends or you'll be lonely
Once I was seven years old

[Verse 1]
It was a big big world, but we thought we were bigger
Pushing each other to the limits, we were learning quicker
By eleven smoking herb and drinking burning liquor
Never rich so we were out to make that steady figure

[Chorus 2]
Once I was 11 years old my daddy told me
Go get yourself a wife or you'll be lonely
Once I was 11 years old

[Verse 2]
I always had that dream like my daddy before me
So I started writing songs, I started writing stories
Something about that glory just always seemed to bore me
Cause only those I really love will ever really know me

[Chorus 3]
Once I was 20 years old, my story got told
Before the morning sun, when life was lonely
Once I was 20 years old

(Lukas Graham!!!)

[Verse 3]
I only see my goals, I don't believe in failure
Cause I know the smallest voices, they can make it major
I got my boys with me at least those in favor
And if we don't meet before I leave, I hope I'll see you later

[Chorus 4]
Once I was 20 years old, my story got told
I was writing 'bout everything, I saw before me
Once I was 20 years old
Soon we'll be 30 years old, our songs have been sold
We've traveled around the world and we're still roaming
Soon we'll be 30 years old

[Verse 4]
I'm still learning about life
My woman brought children for me
So I can sing them all my songs
And I can tell them stories
Most of my boys are with me
Some are still out seeking glory
And some I had to leave behind
My brother I'm still sorry

[Bridge]
Soon I'll be 60 years old, my daddy got 61
Remember life and then your life becomes a better one
I made a man so happy when I wrote a letter once
I hope my children come and visit, once or twice a month

[Chorus 5]
Soon I'll be 60 years old, will I think the world is cold
Or will I have a lot of children who can warm me
Soon I'll be 60 years old
Soon I'll be 60 years old, will I think the world is cold
Or will I have a lot of children who can hold me
Soon I'll be 60 years old

[Outro]
Once I was seven years old, my momma told me
Go make yourself some friends or you'll be lonely
Once I was seven years old

Once I was seven years old"	"Lukas Graham is a Danish pop band consisting of vocalist Lukas Graham Forchhammer (born September 18, 1988), drummer Mark ""Lovestick"" Falgren (born November 28, 1988), bassist Magnus Larsson (born September 9, 1990) and keyboardist Kasper Daugaard (born June 14, 1989). 

Launching their debut album in 2012 on Copenhagen Records, Lukas Graham quickly became a popular live act in Denmark. That success translated to the rest of Europe and caught the attention of Warner Bros. <a href=""https://www.last.fm/music/Lukas+Graham"">Read more on Last.fm</a>"
