title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,artist.gender,lyrics.ease.score
Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,-10,28,52,234,84,44,83,M,103.63
Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,80,F,85.59
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,15,47,222,20,3,80,M,107.38
Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11,15,205,49,4,80,F,97.7
Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8,30,192,11,24,80,F,98.11
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,19,70,236,1,7,79,M,121.22
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63,-7,18,42,225,40,4,79,F,103.22
Work,Rihanna,barbadian pop,2016,92,53,73,-6,9,56,219,8,9,78,F,107.28
Stitches,Shawn Mendes,canadian pop,2016,150,75,75,-7,5,76,207,2,7,78,M,98.41
"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,-7,16,38,251,2,10,78,M,96.48
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,8,69,198,4,11,78,M,105.35
Dangerous Woman,Ariana Grande,dance pop,2016,134,60,66,-5,36,29,236,5,4,78,F,89.14
Confident,Demi Lovato,dance pop,2016,130,75,59,-6,9,34,206,0,7,75,F,87.72
Too Good,Drake,canadian hip hop,2016,118,65,79,-8,10,39,263,5,10,74,M,106.47
Me Too,Meghan Trainor,dance pop,2016,124,69,93,-6,48,84,181,10,10,73,F,106.67
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,76,-6,7,82,218,5,23,72,F,96.79
Close,Nick Jonas,dance pop,2016,124,62,65,-5,14,40,234,25,8,72,M,103.22
Company,Justin Bieber,canadian pop,2016,95,80,59,-5,8,43,208,13,6,72,M,91.37
Hands To Myself,Selena Gomez,dance pop,2016,111,50,81,-7,34,47,201,1,12,71,F,98.92
All I Ask,Adele,british soul,2016,142,28,59,-5,15,34,272,88,3,71,F,106.67
NO,Meghan Trainor,dance pop,2016,92,80,56,-4,74,65,214,1,22,70,F,105.05
Kill Em With Kindness,Selena Gomez,dance pop,2016,120,88,76,-5,10,40,218,1,4,70,F,100.14
Cool Girl,Tove Lo,dance pop,2016,102,69,67,-7,8,20,199,31,11,69,F,105.76
Perfect Illusion,Lady Gaga,dance pop,2016,125,86,61,-5,36,66,182,0,4,67,F,83.02
Out Of The Woods,Taylor Swift,pop,2016,92,84,55,-7,34,34,236,0,4,66,F,107.08
Rise,Katy Perry,dance pop,2016,101,64,55,-6,11,44,203,5,5,66,F,98.01
Body Say,Demi Lovato,dance pop,2016,87,74,63,-5,28,26,194,0,4,65,F,105.55
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,34,47,-6,10,27,216,60,4,65,M,104.94
Cheap Thrills,Sia,australian dance,2016,90,80,59,-5,8,73,225,6,22,64,F,101.9
I Got You,Bebe Rexha,dance pop,2016,98,89,61,-5,9,32,192,5,5,64,F,98.82
